matchID,map,p_model,mc_mean,mc_se
2368621,Vertigo,0.5507865715082243,0.5594,0.4965087553999806
2368581,Mirage,0.3335175991153691,0.3448,0.47535055656886116
2368635,Inferno,0.5458806705345065,0.5552,0.49699332034957416
2368635,Nuke,0.5426480524982813,0.5526,0.49727527239880714
2368461,Anubis,0.5499456673107793,0.5588,0.4965801832289274
2368461,Overpass,0.7204292788265648,0.7238,0.44716166059954426
2368439,Inferno,0.5509221369307599,0.5598,0.49646072820609904
2368439,Ancient,0.5899636042968833,0.5984,0.4902708568767071
2368198,Inferno,0.4727406311207723,0.4802,0.49965777445999543
2368198,Ancient,0.6088213887882699,0.6174,0.4860704608372943
2368409,Ancient,0.45324430285592515,0.4602,0.49846329165809805
2368409,Anubis,0.6019087980733571,0.6112,0.48752650842726886
2368616,Ancient,0.5048626675669707,0.5146,0.4998367807209393
2368616,Anubis,0.6478726729147017,0.6528,0.4761276084201587
2368504,Mirage,0.409053769802693,0.4128,0.49238668638559463
2368504,Nuke,0.37937070039210424,0.3854,0.48673835152427525
2368438,Anubis,0.5548219470523879,0.565,0.4958065800621918
2368438,Mirage,0.35486772210064027,0.3644,0.4813096423243137
2368438,Ancient,0.6412943892006613,0.648,0.47764173637326246
2368408,Ancient,0.48830105306253596,0.4962,0.5000355658484931
2368408,Inferno,0.5935532056259843,0.6026,0.4894089744057068
2368501,Anubis,0.567421662673299,0.5778,0.49395947120369943
2368501,Inferno,0.492924643000948,0.5006,0.5000496474651153
2368501,Mirage,0.3689053804917714,0.3752,0.48422293870785815
2368609,Inferno,0.49285630612154335,0.5006,0.5000496474651153
2368609,Anubis,0.502044896515678,0.511,0.49992898075342607
2368609,Nuke,0.5374239278888749,0.5488,0.4976626303217107
2368611,Ancient,0.6173777669452799,0.6262,0.48385988062332197
2368611,Mirage,0.8282905751013538,0.831,0.3747893987543988
2368624,Ancient,0.6733082923145285,0.6796,0.4666769733761201
2368624,Mirage,0.5375373275532568,0.5492,0.49762323677372167
2368503,Ancient,0.4128309041985465,0.4166,0.493044682165544
2368503,Overpass,0.6324505321528751,0.6406,0.4798725826082459
2368622,Overpass,0.3260215283736727,0.3368,0.47266313806813587
2368622,Inferno,0.5728923926874528,0.5836,0.49301080305647066
2368197,Ancient,0.4402220255398205,0.446,0.49712516199176354
2368197,Inferno,0.4018630236847679,0.4064,0.491210033956445
2368197,Anubis,0.2694019326204728,0.2746,0.4463571293677155
2368458,Vertigo,0.6226014900866982,0.6322,0.4822547811424859
2368458,Ancient,0.6177992358186046,0.627,0.48365047664270044
2368457,Nuke,0.5205099039010443,0.5318,0.4990376415798138
2368457,Vertigo,0.7435056432100221,0.744,0.43646546303239625
2368437,Mirage,0.39798010311115317,0.4034,0.4906287632382181
2368437,Overpass,0.6088276516863916,0.6174,0.4860704608372943
2368437,Anubis,0.555393607392686,0.566,0.4956744280550748
2368571,Vertigo,0.7159499541225439,0.7194,0.4493373129444747
2368571,Anubis,0.5360815844095396,0.547,0.4978358847186719
2368571,Overpass,0.43863198817305504,0.4434,0.49683579698108743
2368193,Anubis,0.5128447356540548,0.524,0.49947361770063076
2368193,Mirage,0.5895094415863449,0.5978,0.4903909222766366
2368193,Nuke,0.6263135449466949,0.6346,0.4815903091271346
2368195,Mirage,0.7064067595429159,0.711,0.45334325187522556
2368195,Vertigo,0.5566077820734009,0.5674,0.495485964754052
2368195,Overpass,0.5273668508230616,0.538,0.4986037716907373
2368194,Inferno,0.38150306957732855,0.3874,0.4872050017628602
2368194,Anubis,0.30110365617538787,0.3088,0.4620446483311004
2368500,Ancient,0.38970028371318177,0.3928,0.4884218168491604
2368500,Nuke,0.3306038708612187,0.3418,0.4743603730843361
2368436,Ancient,0.5146128898594233,0.5248,0.4994345272099175
2368436,Nuke,0.5848837962354352,0.5926,0.49139956726368966
2368406,Overpass,0.45520436410181025,0.4624,0.4986341015147667
2368406,Ancient,0.575594598905211,0.5856,0.4926674174702924
2368406,Anubis,0.5506617664603017,0.5592,0.496532646392749
2368570,Nuke,0.519657755681027,0.5306,0.4991126753474996
2368570,Anubis,0.40816658091583796,0.4114,0.4921366473815369
2368570,Inferno,0.48469861029205663,0.4942,0.5000163630049066
2368435,Mirage,0.33004049166437577,0.3412,0.47415981009054436
2368435,Inferno,0.8120828004835978,0.8146,0.38866058638647943
2368435,Overpass,0.46471561433339875,0.471,0.49920821484462136
2368499,Nuke,0.43287834128026026,0.4372,0.4960900937090109
2368499,Mirage,0.5274739414658048,0.5384,0.4985731190417371
2368495,Inferno,0.5482085551954531,0.5566,0.49683579698108743
2368495,Nuke,0.675171500689731,0.6816,0.465902192493869
2368495,Overpass,0.6331958522887555,0.6412,0.47969634323845256
2368405,Ancient,0.43639748834781045,0.4404,0.49648478267504387
2368405,Inferno,0.5473824201901262,0.5566,0.49683579698108743
2368405,Overpass,0.5415790395251884,0.5516,0.4973800532625697
2368494,Ancient,0.2911515288904706,0.3004,0.45847778613153684
2368494,Anubis,0.5277863298254928,0.5388,0.4985421435082201
2368494,Overpass,0.6596639616627533,0.668,0.47097809298609056
2368608,Mirage,0.39200793719129057,0.3948,0.4888565803497281
2368608,Inferno,0.5394594386740897,0.5506,0.4974828015394758
2368608,Anubis,0.49174988893983174,0.4998,0.5000499674972481
2368557,Mirage,0.5234320836967519,0.5356,0.4987809102995982
2368557,Overpass,0.5979555960386976,0.608,0.48824550866889405
2368557,Anubis,0.5867079092826958,0.5946,0.4910183905028022
2368434,Anubis,0.5977633576199228,0.6076,0.4883338345709801
2368434,Ancient,0.4566542986516936,0.4636,0.49872315462287425
2368434,Inferno,0.6077799381451396,0.6162,0.48635878626153634
2368498,Inferno,0.2636427667136819,0.27,0.444003860214725
2368498,Mirage,0.5899161286348816,0.5984,0.4902708568767071
2368498,Overpass,0.34028355540886335,0.3512,0.4773930674278436
2368556,Mirage,0.5903327999736865,0.5994,0.4900690497620788
2368556,Ancient,0.6059666341661331,0.6146,0.48673835152427525
2368455,Inferno,0.35005238161669516,0.361,0.48033857333031854
2368455,Ancient,0.6516850326150121,0.6576,0.474560092566043
2368455,Mirage,0.5848581888825722,0.5926,0.49139956726368966
2368456,Nuke,0.566343849157215,0.5768,0.49411596828884574
2368456,Vertigo,0.724364932935718,0.728,0.4450343931902617
2368559,Overpass,0.47008016355841176,0.4774,0.4995389352488611
2368559,Inferno,0.6218089988199487,0.6316,0.48241889017442036
2368189,Ancient,0.583023803335242,0.5912,0.4916613734891488
2368189,Nuke,0.5251017228330671,0.5372,0.49866410857273025
2368190,Mirage,0.5039340072510176,0.5132,0.4998757197014368
2368190,Anubis,0.7366419032641858,0.7384,0.4395498615813265
2368402,Overpass,0.45191044869373115,0.459,0.4983660037911364
2368402,Inferno,0.5889108492961188,0.5968,0.490589334962671
2368561,Mirage,0.2806282989429409,0.2894,0.453529246857963
2368561,Ancient,0.4556292861873431,0.4626,0.4986491453858502
2368561,Inferno,0.32820841526720235,0.3394,0.4735530492965911
2368432,Ancient,0.5497976965442045,0.5588,0.4965801832289274
2368432,Nuke,0.44642769371531993,0.4522,0.49775969397148717
2368497,Ancient,0.7126654655494872,0.7174,0.4503085559470438
2368497,Nuke,0.5366647103407601,0.5482,0.4977211119302176
2368431,Mirage,0.7503178272027173,0.7522,0.4317782376281809
